stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
22387,22387,HUEBNER & FREDERICKSBURG RD.,,29.542632,-98.580933,,,,,,0
23427,23427,BRAZOS & S. LAREDO,,29.412319,-98.515219,,,,,,0
23549,23549,S. LAREDO IN FRONT OF 2001 (BRAZOS),S Laredo St & S Brazos St,29.411998,-98.51407,,,,,,0
23923,23923,WOODLAWN & FREDERICKSBURG RD.,,29.452906,-98.514743,,,,,,0
23933,23933,FREDERICKSBURG RD. & WOODLAWN,,29.453033,-98.514898,,,,,,0
23939,23939,FREDERICKSBURG RD. & WOODLAWN,,29.45287,-98.514661,,,,,,0
24393,24393,DRESDEN BET. SCOTLAND & BLANCO,,29.499013,-98.508464,,,,,,0
24619,24619,CASTROVILLE & SW 37TH,,29.411458,-98.576524,,,,,,0
25446,25446,WILSON & WOODLAWN,,29.455133,-98.539141,,,,,,0
26559,26559,HOT WELLS & S. PRESA,,29.368711,-98.47081,,,,,,0
26733,26733,W. SOUTHCROSS & PLEASANTON,W Southcross Blvd & E Southcross Blvd,29.368307,-98.504804,,,,,,0
26783,26783,W. SOUTHCROSS & S. ZARZAMORA,,29.368055,-98.534277,,,,,,0
27639,27639,BASSE OPPOSITE NACOGDOCHES PL.,,29.496952,-98.467379,,,,,,0
27716,27716,ELM TRAIL & NEW WALZEM,,29.496918,-98.337671,,,,,,0
27717,27717,ELM TRAIL & WALZEM RD.,,29.496315,-98.338229,,,,,,0
28386,28386,HUEBNER & BANDERA,Huebner Rd & Bandera Rd,29.500103,-98.623149,,,,,,0
28387,28387,Huebner & Bandera (nearside),,29.500236,-98.623172,,,,,,0
28666,28666,CAMINO SANTA MARIA & FORDHAM,,29.454667,-98.560167,,,,,,0
28667,28667,CAMINO SANTA MARIA OPP. FORDHAM,,29.454757,-98.560208,,,,,,0
28983,28983,EISENHAUER & AUSTIN HWY.,,29.495698,-98.43007,,,,,,0
28996,28996,AUSTIN HWY. & EISENHAUER,,29.495365,-98.429926,,,,,,0
28997,28997,AUSTIN HWY. & EISENHAUER,Austin Hwy & Sunset Memorial Gardens,29.4955,-98.4303,,,,,,0
31347,31347,HUEBNER IN FRONT OF 10503,,29.54032,-98.583304,,,,,,0
31853,31853,FREDERICKSBURG RD OPP WONDERLAND MALL,,29.490731,-98.552241,,,,,,0
32629,32629,TIMBER PATH & CLIFF BRIER,,29.493196,-98.680545,,,,,,0
32763,32763,PORTER & S. WALTERS,Porter St & S Walters St,29.405883,-98.452549,,,,,,0
32769,32769,PORTER & S. WALTERS,Porter St & S Walters St,29.405937,-98.452178,,,,,,0
33347,33347,FREDERICKSBURG RD. & USAA BLVD.,,29.537673,-98.578389,,,,,,0
35473,35473,BABCOCK BETWEEN NEWGATE & CALLAGHAN,,29.494358,-98.570798,,,,,,0
35589,35589,BABCOCK & CALLAGHAN,,29.493655,-98.569869,,,,,,0
36397,36397,S. FLORES & KELLER,,29.408343,-98.501599,,,,,,0
36823,36823,ARANSAS & OLIVE (HACKBERRY),Aransas Ave & S Olive St,29.405549,-98.471884,,,,,,0
37116,37116,S. FLORES & CEVALLOS,,29.40874,-98.501393,,,,,,0
37893,37893,SEGUIN RD. (FM 78) OPP. GULF SHORE,Fm-78 & Gulf Shore Blvd,29.490557,-98.336123,,,,,,0
37899,37899,SEGUIN RD. (FM 78) & GULF SHORE BLVD,,29.490749,-98.336354,,,,,,0
38297,38297,BEECH TR. BET. SUNSHINE TR. & SEGUI,,29.493618,-98.331819,,,,,,0
38933,38933,CULEBRA OPPOSITE EL CENTRO,Culebra Rd & El Centro Dr,29.448403,-98.593854,,,,,,0
39166,39166,GEN. MCMULLEN & CERALVO,S General Mcmullen Dr & Ceralvo St,29.409343,-98.556696,,,,,,0
43396,43396,VANCE JACKSON & DREAMLAND,,29.532476,-98.544338,,,,,,0
44273,44273,BANDERA & CULEBRA,,29.446992,-98.541804,,,,,,0
47356,47356,SAN PEDRO IN FRONT OF S.A.C.,,29.446243,-98.49924,,,,,,0
47543,47543,BASSE & SAN PEDRO,Basse Rd & San Pedro Ave,29.488141,-98.49958,,,,,,0
47546,47546,SAN PEDRO & BASSE,San Pedro Ave & Basse Rd,29.488728,-98.499126,,,,,,0
